state,s_code,code,s_district,s_municipality
Schleswig-Holstein,010515178121,01051121,Warwerort,Büsum
Schleswig-Holstein,010515178127,01051127,"Wesselburen, Stadt",Büsum
Schleswig-Holstein,010515178128,01051128,Wesselburener Deichhausen,Büsum
Schleswig-Holstein,010515178129,01051129,Wesselburenerkoog,Büsum
Schleswig-Holstein,010515178132,01051132,Westerdeichstrich,Büsum
Schleswig-Holstein,010515178140,01051140,Oesterwurth,Büsum
Schleswig-Holstein,01053,,Herzogtum Lauenburg,Ratzeburg
Schleswig-Holstein,010530032032,01053032,"Geesthacht, Stadt",Geesthacht
Schleswig-Holstein,010530083083,01053083,"Lauenburg/ Elbe, Stadt",Lauenburg/Elbe
Schleswig-Holstein,010530090090,01053090,"Mölln, Stadt",Mölln
Schleswig-Holstein,010530100100,01053100,"Ratzeburg, Stadt",Ratzeburg
Schleswig-Holstein,010530116116,01053116,"Schwarzenbek, Stadt",Schwarzenbek
Schleswig-Holstein,010530129129,01053129,Wentorf bei Hamburg,Wentorf bei Hamburg
Schleswig-Holstein,010535308,,Amt Berkenthin,Berkenthin
Schleswig-Holstein,010535308008,01053008,Behlendorf,Berkenthin
Schleswig-Holstein,010535308009,01053009,Berkenthin,Berkenthin
Schleswig-Holstein,010535308011,01053011,Bliestorf,Berkenthin
Schleswig-Holstein,010535308024,01053024,Düchelsdorf,Berkenthin
Schleswig-Holstein,010535308034,01053034,Göldenitz,Berkenthin
Schleswig-Holstein,010535308061,01053061,Kastorf,Berkenthin
Schleswig-Holstein,010535308067,01053067,Klempau,Berkenthin
Schleswig-Holstein,010535308075,01053075,Krummesse,Berkenthin
Schleswig-Holstein,010535308094,01053094,Niendorf bei Berkenthin,Berkenthin
Schleswig-Holstein,010535308103,01053103,Rondeshagen,Berkenthin
Schleswig-Holstein,010535308120,01053120,Sierksrade,Berkenthin
Schleswig-Holstein,010535313,,Amt Breitenfelde,Mölln
Schleswig-Holstein,010535313002,01053002,Alt-Mölln,Mölln
Schleswig-Holstein,010535313005,01053005,Bälau,Mölln
Schleswig-Holstein,010535313013,01053013,Borstorf,Mölln
Schleswig-Holstein,010535313014,01053014,Breitenfelde,Mölln
Schleswig-Holstein,010535313037,01053037,Grambek,Mölln
Schleswig-Holstein,010535313056,01053056,Hornbek,Mölln
Schleswig-Holstein,010535313084,01053084,Lehmrade,Mölln
Schleswig-Holstein,010535313095,01053095,Niendorf/ Stecknitz,Mölln
Schleswig-Holstein,010535313113,01053113,Schretstaken,Mölln
Schleswig-Holstein,010535313125,01053125,Talkau,Mölln
Schleswig-Holstein,010535313134,01053134,Woltersdorf,Mölln
Schleswig-Holstein,010535318,,Amt Büchen,Büchen
Schleswig-Holstein,010535318010,01053010,Besenthal,Büchen
Schleswig-Holstein,010535318015,01053015,Bröthen,Büchen
Schleswig-Holstein,010535318020,01053020,Büchen,Büchen
Schleswig-Holstein,010535318029,01053029,Fitzen,Büchen
Schleswig-Holstein,010535318035,01053035,Göttin,Büchen
